1.,Year,All,,,,,,,
,Study_design,All,,,,,,,
,Ecoregion,All,,,,,,,
,Spatial_Scale,All,,,,,,,
,Continent_Ocean,All,,3.,Number of distinct studies,,,,
,country_eez,All,,,1069,,,,
,Threat_data,All,,,,,,,
,Threat_metric,All,,,,,,,
,threat_precision,All,,,Article ID,Author,Year ,Title,Publication Name
,Quantity_threats,All,,4.,23013,Abade_etal,2018,Spatial variation in leopard (Panthera pardus) site use across a gradient of anthropogenic pressure in Tanzania's Ruaha landscape,PLoS ONE
,Threat,All,,,,,,,
,Pop_data,All,,,,,,,
,Pop_metric,All,,,,,,,
,tax_res,All,,,,,,,
,tax_scope,All,,,,,,,
,tax_kingdom,All,,,,,,,
,animal_group,All,,,,,,,
,plant_group,All,,,,,,,
,,,,,,,,,
2.,Article ID,,,,,,,,
,23013,,,,,,,,
,23018,,,,,,,,
,23019,,,,,,,,
,23020,,,,,,,,
,23022,,,,,,,,
,23030,,,,,,,,
,23046,,,,,,,,
,23047,,,,,,,,
,23051,,,,,,,,
,23052,,,,,,,,
,23061,,,,,,,,
,23062,,,,,,,,
,23063,,,,,,,,
,23064,,,,,,,,
,23068,,,,,,,,
,23071,,,,,,,,
,23072,,,,,,,,
,23073,,,,,,,,
,23074,,,,,,,,
,23080,,,,,,,,
,23082,,,,,,,,
,23083,,,,,,,,
,23085,,,,,,,,
,23086,,,,,,,,
,23087,,,,,,,,
,23091,,,,,,,,
,23100,,,,,,,,
,23105,,,,,,,,
,23106,,,,,,,,
,23114,,,,,,,,
,23117,,,,,,,,
,23125,,,,,,,,
,23128,,,,,,,,
,23135,,,,,,,,
,23138,,,,,,,,
,23142,,,,,,,,
,23146,,,,,,,,
,23147,,,,,,,,
,23150,,,,,,,,
,23151,,,,,,,,
,23154,,,,,,,,
,23155,,,,,,,,
,23160,,,,,,,,
,23163,,,,,,,,
,23164,,,,,,,,
,23169,,,,,,,,
,23170,,,,,,,,
,23171,,,,,,,,
,23177,,,,,,,,
,23185,,,,,,,,
,23188,,,,,,,,
,23190,,,,,,,,
,23196,,,,,,,,
,23197,,,,,,,,
,23200,,,,,,,,
,23202,,,,,,,,
,23207,,,,,,,,
,23211,,,,,,,,
,23222,,,,,,,,
,23223,,,,,,,,
,23232,,,,,,,,
,23234,,,,,,,,
,23236,,,,,,,,
,23237,,,,,,,,
,23242,,,,,,,,
,23247,,,,,,,,
,23249,,,,,,,,
,23252,,,,,,,,
,23256,,,,,,,,
,23258,,,,,,,,
,23261,,,,,,,,
,23262,,,,,,,,
,23266,,,,,,,,
,23276,,,,,,,,
,23278,,,,,,,,
,23280,,,,,,,,
,23282,,,,,,,,
,23285,,,,,,,,
,23290,,,,,,,,
,23293,,,,,,,,
,23301,,,,,,,,
,23303,,,,,,,,
,23304,,,,,,,,
,23306,,,,,,,,
